artist_id,tag_id,tag_name,target_post_count,total_post_count,avg_score,avg_fav_count,ratio
178225,1525930,lainart,79,344,107.5189873417721519,140.430379746835443,0.22965116279069767
92648,1041401,polyle,30,131,35.4333333333333333,47.5666666666666667,0.22900763358778625
82590,691953,ixmmxi,23,101,123.7391304347826087,220.5217391304347826,0.22772277227722773
92389,1141148,lucknight,64,283,78.265625,132.3125,0.22614840989399293
147693,1405439,exlic,118,523,118.0508474576271186,152.2372881355932203,0.22562141491395793
83326,583642,jadf,36,160,99.0555555555555556,148.9722222222222222,0.225
146184,1402267,pink_lady_mage,46,205,82.3260869565217391,158.0869565217391304,0.22439024390243903
60115,1566291,jellytits-7,175,786,103.0057142857142857,250.4742857142857143,0.22264631043256997
284536,1783325,moral_cacoethes,64,289,169.171875,163.40625,0.22145328719723184
189462,1530982,moursho,23,105,88.0434782608695652,86.9565217391304348,0.21904761904761905
126334,1339966,tofuubear,184,853,134.5217391304347826,228.0054347826086957,0.21570926143024619
112965,1292374,lvl_(sentrythe2310),131,618,217.0305343511450382,250.0610687022900763,0.21197411003236247
18039,428841,lasterk,166,784,142.0301204819277108,250.9819277108433735,0.21173469387755103
225615,1634102,eryz,22,104,12.1363636363636364,14.0454545454545455,0.21153846153846154
169014,1474969,rezodwel,45,214,162.1555555555555556,214.5555555555555556,0.2102803738317757
91457,698314,modeseven,27,130,36.0740740740740741,66.4074074074074074,0.2076923076923077
21632,455161,lasto,42,203,14.2619047619047619,13.9761904761904762,0.20689655172413793
93693,701922,owler,33,160,91.3333333333333333,175.303030303030303,0.20625
158157,1591551,laserflip,105,510,140.7047619047619048,277.7619047619047619,0.20588235294117646
94664,1231991,sane-person,21,102,126.5238095238095238,170.1904761904761905,0.20588235294117646
200517,1892828,orphen_(pink_seito),70,342,117.3,114.0857142857142857,0.2046783625730994
198081,1553993,mrkg_(arsfatuus),27,132,36.8518518518518519,35.9259259259259259,0.20454545454545456
68216,1235698,naruse_mai,78,384,47.2692307692307692,61.8974358974358974,0.203125
